"fipstate","year","naics","emp","qp1","ap","est"
"06",1998,"623///",193846,842203,3498536,7244
"06",1998,"624///",168230,656824,2814422,13155
"06",1998,"711///",55395,913821,4753644,8557
"06",1998,"712///",10372,58807,255615,460
"06",1998,"713///",164351,607694,2562030,5311
"06",1998,"721///",181607,793364,3318563,6270
"06",1998,"722///",870458,2248983,9815691,56412
"06",1998,"811///",161949,965141,4193344,26844
"06",1998,"812///",133046,531332,2296961,19679
"06",1998,"813///",222336,996270,4194047,21132
"08",1998,"113///",0,0,0,58
"08",1998,"114///",0,0,0,10
"08",1998,"115///",905,4810,22082,186
"08",1998,"211///",4199,66462,210743,342
"08",1998,"212///",4454,52462,222259,196
"08",1998,"213///",3157,32714,136676,389
"08",1998,"221///",9849,132118,508635,314
"08",1998,"233///",29221,241997,1116541,4775
"08",1998,"234///",17593,146795,744280,755
"08",1998,"235///",86107,567686,2721534,10453
"08",1998,"311///",18171,110905,459985,415
"08",1998,"312///",6292,99791,380286,58
"08",1998,"313///",382,2505,10918,26
"08",1998,"314///",2219,14289,60738,112
"08",1998,"315///",2002,9577,39457,128
"08",1998,"316///",1397,13486,50411,32
"08",1998,"321///",4225,24493,109305,224
"08",1998,"322///",3106,26706,105489,53
"08",1998,"323///",12537,81051,350420,856
"08",1998,"324///",482,7366,32180,19
"08",1998,"325///",6449,65051,271910,171
"08",1998,"326///",5695,45934,179501,227
"08",1998,"327///",9480,79763,346287,280
"08",1998,"331///",2220,19722,78266,36
"08",1998,"332///",15934,121151,520720,812
"08",1998,"333///",13402,122089,492135,374
"08",1998,"334///",39014,473569,1927293,417
"08",1998,"335///",2480,21552,87357,90
"08",1998,"336///",13167,148847,584530,152
"08",1998,"337///",5099,32072,141895,347
"08",1998,"339///",9650,78624,326743,681
"08",1998,"421///",59045,630046,2610052,5110
"08",1998,"422///",33947,268749,1125442,2400
"08",1998,"441///",29616,220807,994575,1823
"08",1998,"442///",9247,50961,227008,1253
"08",1998,"443///",6847,37924,157909,830
"08",1998,"444///",21993,136398,602503,1554
"08",1998,"445///",42945,209736,872078,2020
"08",1998,"446///",10743,41139,175297,1145
"08",1998,"447///",14167,46301,202663,1780
"08",1998,"448///",19234,64872,268811,2487
"08",1998,"451///",15263,49507,199972,1634
"08",1998,"452///",37831,124109,496930,400
"08",1998,"453///",15655,54421,239166,2669
"08",1998,"454///",9040,48225,230560,788
"08",1998,"481///",14185,142004,601930,118
"08",1998,"483///",0,0,0,3
